platform,phase,handle_or_name,url,account_email,status,done_date,notes
Gmail,A1,senoremusic7@gmail.com,,senoremusic7@gmail.com,done,2026-09-25,Bật 2FA + in mã dự phòng
YouTube,A1,@senoremusic,https://www.youtube.com/@Senoremusic,senoremusic7@gmail.com,done,2026-09-25,"Tên kênh ""Senore Music"" (YouTube từ chối ""Senore""); còn: xác minh SĐT, thêm chủ sở hữu dự phòng"
TikTok,A2,@senoremusic,https://www.tiktok.com/@senoremusic,senoremusic7@gmail.com,done,2026-09-25,"Tên ""Senore"" + bio đã đặt; tài khoản cá nhân (không Business); còn: ảnh đại diện, 1–2 video giữ chỗ; Artist account ở B4"
Facebook Page,A3,Senore (/senoremusic),https://www.facebook.com/senoremusic,senoremusic7@gmail.com (liên hệ),done,2026-09-25,"Trang ""Senore"", hạng mục Nhạc sĩ; bio + web YouTube + email; quản lý bằng Facebook cá nhân; đã liên kết Instagram @senoremusic; còn: ảnh đại diện/bìa"
Instagram,A4,@senoremusic,https://instagram.com/senoremusic,senoremusic7@gmail.com,done,2026-09-25,"Tên ""Senore"" + bio; tài khoản Người sáng tạo, hạng mục Nhạc sĩ/Ban nhạc (hiển thị); đã liên kết Trang Facebook; còn: ảnh đại diện, link web (chỉ sửa trên app)"
Threads,A4,@senoremusic,,,todo,,Theo Instagram
RouteNote,A5,Senore,https://routenote.com,senoremusic7@gmail.com,todo,,Gói Free (giữ 85%); khai báo AI + link suno.com; không Content ID; W-8BEN khi được yêu cầu
Spotify for Artists,B1,Senore,https://artists.spotify.com,,waiting,,Claim sau khi upload; pitch trước 16/10
Apple Music for Artists,B2,Senore,https://artists.apple.com,,waiting,,Kèm dữ liệu Shazam
YouTube Official Artist Channel,B3,Senore,,,later,,Khi đủ 3 bản phát hành
TikTok Artist account,B4,@senoremusic,,,waiting,,Sau khi bài lên TikTok
Smart link (Linktree),B6,,,,waiting,,RouteNote Free không có pre-save; đặt link vào bio mọi nền tảng
Amazon Music for Artists,B7,Senore,https://artists.amazonmusic.com,,waiting,,
Deezer for Creators,B7,Senore,https://creators.deezer.com,,waiting,,
Musixmatch for Artists,C,Senore,https://www.musixmatch.com/artists,,later,,Lời trên Spotify/Instagram
Genius,C,Senore,https://genius.com,,later,,Trang lời + Verified Artist
Cục Bản quyền tác giả,C,Lời bài hát,,,later,,Đăng ký quyền tác giả lời
